sampleID,groupID
Subject14Year2012_TableS3,TableS3
Subject15Year2007_TableS3,TableS3
Subject15Year2008_TableS3,TableS3
Subject15Year2009_TableS3,TableS3
Subject15Year2010_TableS3,TableS3
Subject15Year2011_TableS3,TableS3
Subject15Year2012_TableS3,TableS3
Subject16Year2007_TableS3,TableS3
Subject16Year2008_TableS3,TableS3
Subject16Year2009_TableS3,TableS3
Subject16Year2010_TableS3,TableS3
Subject16Year2011_TableS3,TableS3
Subject16Year2012_TableS3,TableS3
Subject17Year2007_TableS3,TableS3
Subject17Year2008_TableS3,TableS3
Subject17Year2009_TableS3,TableS3
Subject17Year2010_TableS3,TableS3
Subject17Year2011_TableS3,TableS3
Subject17Year2012_TableS3,TableS3
Subject18Year2007_TableS3,TableS3
Subject18Year2008_TableS3,TableS3
Subject18Year2009_TableS3,TableS3
Subject18Year2010_TableS3,TableS3
Subject18Year2012_TableS3,TableS3
Subject19Year2007_TableS3,TableS3
Subject19Year2008_TableS3,TableS3
Subject19Year2009_TableS3,TableS3
Subject19Year2010_TableS3,TableS3
Subject19Year2011_TableS3,TableS3
Subject19Year2012_TableS3,TableS3
Subject20Year2007_TableS3,TableS3
Subject20Year2008_TableS3,TableS3
Subject20Year2009_TableS3,TableS3
Subject20Year2010_TableS3,TableS3
Subject20Year2011_TableS3,TableS3
Subject20Year2012_TableS3,TableS3
Subject21Year2007_TableS3,TableS3
Subject21Year2008_TableS3,TableS3
Subject21Year2009_TableS3,TableS3
Subject21Year2010_TableS3,TableS3
Subject21Year2012_TableS3,TableS3
Subject22Year2009_TableS3,TableS3
Subject22Year2010_TableS3,TableS3
Subject22Year2011_TableS3,TableS3
Subject22Year2012_TableS3,TableS3
Subject23Year2007_TableS3,TableS3
Subject23Year2008_TableS3,TableS3
Subject23Year2009_TableS3,TableS3
Subject23Year2010_TableS3,TableS3
Subject23Year2011_TableS3,TableS3
Subject23Year2012_TableS3,TableS3
Subject24Year2007_TableS3,TableS3
Subject24Year2008_TableS3,TableS3
Subject24Year2009_TableS3,TableS3
Subject24Year2010_TableS3,TableS3
Subject24Year2011_TableS3,TableS3
Subject24Year2012_TableS3,TableS3
Subject25Year2007_TableS3,TableS3
Subject25Year2008_TableS3,TableS3
Subject25Year2009_TableS3,TableS3
Subject25Year2010_TableS3,TableS3
Subject25Year2011_TableS3,TableS3
Subject25Year2012_TableS3,TableS3
Subject26Year2007_TableS3,TableS3
Subject26Year2012_TableS3,TableS3
Subject27Year2007_TableS3,TableS3
Subject27Year2008_TableS3,TableS3
Subject27Year2009_TableS3,TableS3
Subject27Year2010_TableS3,TableS3
Subject27Year2011_TableS3,TableS3
Subject27Year2012_TableS3,TableS3
Subject28Year2007_TableS3,TableS3
Subject28Year2008_TableS3,TableS3
Subject28Year2009_TableS3,TableS3
Subject28Year2010_TableS3,TableS3
Subject28Year2011_TableS3,TableS3
Subject28Year2012_TableS3,TableS3
Subject29Year2007_TableS3,TableS3
Subject29Year2008_TableS3,TableS3
Subject29Year2009_TableS3,TableS3
Subject29Year2010_TableS3,TableS3
Subject29Year2011_TableS3,TableS3
Subject29Year2012_TableS3,TableS3
Subject30Year2007_TableS3,TableS3
Subject30Year2008_TableS3,TableS3
Subject30Year2009_TableS3,TableS3
Subject30Year2010_TableS3,TableS3
Subject30Year2011_TableS3,TableS3
Subject30Year2012_TableS3,TableS3
Subject31Year2007_TableS3,TableS3
Subject31Year2008_TableS3,TableS3
Subject31Year2009_TableS3,TableS3
Subject31Year2010_TableS3,TableS3
Subject31Year2011_TableS3,TableS3
Subject31Year2012_TableS3,TableS3
Subject32Year2007_TableS3,TableS3
Subject32Year2008_TableS3,TableS3
Subject32Year2009_TableS3,TableS3
Subject32Year2010_TableS3,TableS3
Subject32Year2011_TableS3,TableS3
Subject32Year2012_TableS3,TableS3
Subject33Year2007_TableS3,TableS3
Subject33Year2008_TableS3,TableS3
Subject33Year2009_TableS3,TableS3
Subject33Year2010_TableS3,TableS3
Subject33Year2011_TableS3,TableS3
Subject33Year2012_TableS3,TableS3
Subject34Year2007_TableS3,TableS3
Subject34Year2008_TableS3,TableS3
Subject34Year2009_TableS3,TableS3
Subject34Year2010_TableS3,TableS3
Subject34Year2011_TableS3,TableS3
Subject34Year2012_TableS3,TableS3
Subject35Year2007_TableS3,TableS3
Subject35Year2012_TableS3,TableS3
Subject36Year2007_TableS3,TableS3
Subject36Year2008_TableS3,TableS3
Subject36Year2009_TableS3,TableS3
Subject36Year2010_TableS3,TableS3
Subject36Year2011_TableS3,TableS3
Subject36Year2012_TableS3,TableS3
Subject37Year2007_TableS3,TableS3
Subject37Year2008_TableS3,TableS3
Subject37Year2009_TableS3,TableS3
Subject37Year2010_TableS3,TableS3
Subject37Year2011_TableS3,TableS3
Subject37Year2012_TableS3,TableS3
Subject38Year2007_TableS3,TableS3
Subject38Year2008_TableS3,TableS3
Subject38Year2009_TableS3,TableS3
Subject38Year2010_TableS3,TableS3
Subject38Year2011_TableS3,TableS3
Subject38Year2012_TableS3,TableS3
Subject39Year2007_TableS3,TableS3
Subject39Year2008_TableS3,TableS3
Subject39Year2009_TableS3,TableS3
Subject39Year2010_TableS3,TableS3
Subject39Year2011_TableS3,TableS3
Subject39Year2012_TableS3,TableS3
Subject40Year2007_TableS3,TableS3
Subject40Year2008_TableS3,TableS3
Subject40Year2009_TableS3,TableS3
Subject40Year2010_TableS3,TableS3
Subject40Year2011_TableS3,TableS3
Subject40Year2012_TableS3,TableS3
Subject41Year2007_TableS3,TableS3
Subject41Year2012_TableS3,TableS3
Subject42Year2007_TableS3,TableS3
Subject42Year2008_TableS3,TableS3
Subject42Year2009_TableS3,TableS3
Subject42Year2010_TableS3,TableS3
Subject42Year2011_TableS3,TableS3
Subject42Year2012_TableS3,TableS3
Subject43Year2007_TableS3,TableS3
Subject43Year2012_TableS3,TableS3
Subject44Year2007_TableS3,TableS3
Subject44Year2012_TableS3,TableS3
Subject45Year2007_TableS3,TableS3
Subject45Year2012_TableS3,TableS3
Subject46Year2007_TableS3,TableS3
Subject46Year2008_TableS3,TableS3
Subject46Year2009_TableS3,TableS3
Subject46Year2010_TableS3,TableS3
Subject46Year2011_TableS3,TableS3
Subject46Year2012_TableS3,TableS3
Subject47Year2007_TableS3,TableS3
Subject47Year2012_TableS3,TableS3
Subject48Year2007_TableS3,TableS3
Subject48Year2008_TableS3,TableS3
Subject48Year2009_TableS3,TableS3
Subject48Year2010_TableS3,TableS3
Subject48Year2011_TableS3,TableS3
Subject48Year2012_TableS3,TableS3
Subject49Year2007_TableS3,TableS3
Subject49Year2008_TableS3,TableS3
Subject49Year2009_TableS3,TableS3
Subject50Year2007_TableS3,TableS3
Subject50Year2008_TableS3,TableS3
Subject50Year2009_TableS3,TableS3
Subject50Year2010_TableS3,TableS3
Subject50Year2011_TableS3,TableS3
Subject50Year2012_TableS3,TableS3
Subject51Year2007_TableS3,TableS3
Subject51Year2009_TableS3,TableS3
Subject52Year2007_TableS3,TableS3
Subject52Year2008_TableS3,TableS3
Subject52Year2009_TableS3,TableS3
Subject53Year2007_TableS3,TableS3
Subject53Year2008_TableS3,TableS3
Subject53Year2009_TableS3,TableS3
Subject53Year2010_TableS3,TableS3
Subject53Year2011_TableS3,TableS3
Subject53Year2012_TableS3,TableS3
Subject54Year2007_TableS3,TableS3
Subject54Year2008_TableS3,TableS3
Subject54Year2009_TableS3,TableS3
Subject54Year2010_TableS3,TableS3
Subject54Year2011_TableS3,TableS3
Subject54Year2012_TableS3,TableS3
Subject55Year2007_TableS3,TableS3
Subject55Year2008_TableS3,TableS3
Subject55Year2009_TableS3,TableS3
Subject55Year2010_TableS3,TableS3
Subject55Year2011_TableS3,TableS3
Subject55Year2012_TableS3,TableS3
Subject56Year2007_TableS3,TableS3
Subject56Year2008_TableS3,TableS3
Subject56Year2009_TableS3,TableS3
Subject56Year2010_TableS3,TableS3
Subject56Year2011_TableS3,TableS3
Subject56Year2012_TableS3,TableS3
Subject57Year2007_TableS3,TableS3
Subject57Year2008_TableS3,TableS3
Subject57Year2009_TableS3,TableS3
Subject57Year2010_TableS3,TableS3
Subject57Year2011_TableS3,TableS3
Subject58Year2007_TableS3,TableS3
Subject58Year2008_TableS3,TableS3
Subject58Year2009_TableS3,TableS3
Subject58Year2010_TableS3,TableS3
Subject58Year2011_TableS3,TableS3
Subject58Year2012_TableS3,TableS3
Subject59Year2009_TableS3,TableS3
Subject59Year2010_TableS3,TableS3
Subject59Year2011_TableS3,TableS3
Subject59Year2012_TableS3,TableS3
Subject60Year2011_TableS3,TableS3
Subject60Year2012_TableS3,TableS3
Subject61Year2007_TableS3,TableS3
Subject61Year2008_TableS3,TableS3
Subject61Year2009_TableS3,TableS3
Subject61Year2010_TableS3,TableS3
Subject61Year2011_TableS3,TableS3
Subject61Year2012_TableS3,TableS3
Subject62Year2007_TableS3,TableS3
Subject62Year2008_TableS3,TableS3
Subject62Year2009_TableS3,TableS3
Subject62Year2011_TableS3,TableS3
Subject63Year2007_TableS3,TableS3
Subject63Year2008_TableS3,TableS3
Subject63Year2009_TableS3,TableS3
Subject63Year2011_TableS3,TableS3
Subject64Year2007_TableS3,TableS3
Subject64Year2008_TableS3,TableS3
Subject64Year2009_TableS3,TableS3
Subject64Year2010_TableS3,TableS3
Subject64Year2011_TableS3,TableS3
Subject64Year2012_TableS3,TableS3
Subject65Year2009_TableS3,TableS3
Subject65Year2010_TableS3,TableS3
Subject65Year2011_TableS3,TableS3
Subject65Year2012_TableS3,TableS3
Subject66Year2009_TableS3,TableS3
Subject66Year2010_TableS3,TableS3
Subject66Year2011_TableS3,TableS3
Subject66Year2012_TableS3,TableS3
Subject67Year2010_TableS3,TableS3
Subject67Year2011_TableS3,TableS3
Subject67Year2012_TableS3,TableS3
Subject68Year2010_TableS3,TableS3
Subject68Year2011_TableS3,TableS3
Subject68Year2012_TableS3,TableS3
Subject69Year2011_TableS3,TableS3
SubjectB007_Pre_TableS14,TableS14
SubjectB024_Pre_TableS14,TableS14
SubjectA003_Pre_TableS14,TableS14
SubjectB004_Pre_TableS14,TableS14
SubjectB028_Pre_TableS14,TableS14
SubjectB034_Pre_TableS14,TableS14
SubjectA041_Pre_TableS14,TableS14
SubjectA049_Pre_TableS14,TableS14
SubjectB032_Pre_TableS14,TableS14
SubjectA031_Pre_TableS14,TableS14
SubjectA037_Pre_TableS14,TableS14
SubjectA029_Pre_TableS14,TableS14
SubjectA024_Pre_TableS14,TableS14
SubjectA048_Pre_TableS14,TableS14
SubjectA030_Pre_TableS14,TableS14
SubjectA032_Pre_TableS14,TableS14
SubjectB017_Pre_TableS14,TableS14
SubjectB012_Pre_TableS14,TableS14
SubjectA042_Pre_TableS14,TableS14
SubjectA045_Pre_TableS14,TableS14
SubjectB005_Pre_TableS14,TableS14
SubjectA050_Pre_TableS14,TableS14
SubjectA025_Pre_TableS14,TableS14
SubjectA009_Pre_TableS14,TableS14
SubjectA034_Pre_TableS14,TableS14
SubjectB001_Pre_TableS14,TableS14
SubjectB041_Pre_TableS14,TableS14
SubjectB030_Pre_TableS14,TableS14
SubjectA018_Pre_TableS14,TableS14
SubjectB022_Pre_TableS14,TableS14
SubjectA015_Pre_TableS14,TableS14
SubjectB021_Pre_TableS14,TableS14
SubjectA043_Pre_TableS14,TableS14
SubjectB002_Pre_TableS14,TableS14
SubjectA036_Pre_TableS14,TableS14
SubjectA033_Pre_TableS14,TableS14
SubjectA007_Pre_TableS14,TableS14
SubjectA040_Pre_TableS14,TableS14
SubjectA008_Pre_TableS14,TableS14
SubjectB013_Pre_TableS14,TableS14
SubjectA026_Pre_TableS14,TableS14
SubjectA006_Pre_TableS14,TableS14
SubjectB010_Pre_TableS14,TableS14
SubjectB018_Pre_TableS14,TableS14
SubjectB036_Pre_TableS14,TableS14
SubjectB003_Pre_TableS14,TableS14
SubjectA010_Pre_TableS14,TableS14
SubjectA011_Pre_TableS14,TableS14
SubjectB016_Pre_TableS14,TableS14
SubjectA017_Pre_TableS14,TableS14
SubjectB015_Pre_TableS14,TableS14
SubjectA021_Pre_TableS14,TableS14
SubjectB011_Pre_TableS14,TableS14
SubjectA023_Pre_TableS14,TableS14
SubjectA044_Pre_TableS14,TableS14
SubjectA046_Pre_TableS14,TableS14
SubjectA022_Pre_TableS14,TableS14
SubjectB019_Pre_TableS14,TableS14
SubjectA001_Pre_TableS14,TableS14
SubjectA014_Pre_TableS14,TableS14
SubjectB035_Pre_TableS14,TableS14
SubjectB020_Pre_TableS14,TableS14
SubjectB031_Pre_TableS14,TableS14
SubjectA047_Pre_TableS14,TableS14
SubjectB038_Pre_TableS14,TableS14
SubjectB033_Pre_TableS14,TableS14
SubjectB009_Pre_TableS14,TableS14
SubjectA005_Pre_TableS14,TableS14
SubjectB037_Pre_TableS14,TableS14
SubjectA002_Pre_TableS14,TableS14
SubjectA013_Pre_TableS14,TableS14
SubjectB027_Pre_TableS14,TableS14
SubjectB006_Pre_TableS14,TableS14
SubjectA016_Pre_TableS14,TableS14
SubjectA012_Pre_TableS14,TableS14
SubjectA028_Pre_TableS14,TableS14
SubjectA020_Pre_TableS14,TableS14
SubjectB025_Pre_TableS14,TableS14
SubjectB040_Pre_TableS14,TableS14
SubjectB039_Pre_TableS14,TableS14
SubjectB007_Post_TableS14,TableS14
SubjectB024_Post_TableS14,TableS14
SubjectA003_Post_TableS14,TableS14
SubjectB004_Post_TableS14,TableS14
SubjectB028_Post_TableS14,TableS14
SubjectB034_Post_TableS14,TableS14
SubjectA041_Post_TableS14,TableS14
SubjectA049_Post_TableS14,TableS14
SubjectB032_Post_TableS14,TableS14
SubjectA031_Post_TableS14,TableS14
SubjectA037_Post_TableS14,TableS14
SubjectA029_Post_TableS14,TableS14
SubjectA024_Post_TableS14,TableS14
SubjectA048_Post_TableS14,TableS14
SubjectA030_Post_TableS14,TableS14
SubjectA032_Post_TableS14,TableS14
SubjectB017_Post_TableS14,TableS14
SubjectB012_Post_TableS14,TableS14
SubjectA042_Post_TableS14,TableS14
SubjectA045_Post_TableS14,TableS14
SubjectB005_Post_TableS14,TableS14
SubjectA050_Post_TableS14,TableS14
SubjectA025_Post_TableS14,TableS14
SubjectA009_Post_TableS14,TableS14
SubjectA034_Post_TableS14,TableS14
SubjectB001_Post_TableS14,TableS14
SubjectB041_Post_TableS14,TableS14
SubjectB030_Post_TableS14,TableS14
SubjectA018_Post_TableS14,TableS14
SubjectB022_Post_TableS14,TableS14
SubjectA015_Post_TableS14,TableS14
SubjectB021_Post_TableS14,TableS14
SubjectA043_Post_TableS14,TableS14
SubjectB002_Post_TableS14,TableS14
SubjectA036_Post_TableS14,TableS14
SubjectA033_Post_TableS14,TableS14
SubjectA007_Post_TableS14,TableS14
SubjectA040_Post_TableS14,TableS14
SubjectA008_Post_TableS14,TableS14
SubjectB013_Post_TableS14,TableS14
SubjectA026_Post_TableS14,TableS14
SubjectA006_Post_TableS14,TableS14
SubjectB010_Post_TableS14,TableS14
SubjectB018_Post_TableS14,TableS14
SubjectB036_Post_TableS14,TableS14
SubjectB003_Post_TableS14,TableS14
SubjectA010_Post_TableS14,TableS14
SubjectA011_Post_TableS14,TableS14
SubjectB016_Post_TableS14,TableS14
SubjectA017_Post_TableS14,TableS14
SubjectB015_Post_TableS14,TableS14
SubjectA021_Post_TableS14,TableS14
SubjectB011_Post_TableS14,TableS14
SubjectA023_Post_TableS14,TableS14
SubjectA044_Post_TableS14,TableS14
SubjectA046_Post_TableS14,TableS14
SubjectA022_Post_TableS14,TableS14
SubjectB019_Post_TableS14,TableS14
SubjectA001_Post_TableS14,TableS14
SubjectA014_Post_TableS14,TableS14
SubjectB035_Post_TableS14,TableS14
SubjectB020_Post_TableS14,TableS14
SubjectB031_Post_TableS14,TableS14
SubjectA047_Post_TableS14,TableS14
SubjectB038_Post_TableS14,TableS14
SubjectB033_Post_TableS14,TableS14
SubjectB009_Post_TableS14,TableS14
SubjectA005_Post_TableS14,TableS14
SubjectB037_Post_TableS14,TableS14
SubjectA002_Post_TableS14,TableS14
SubjectA013_Post_TableS14,TableS14
SubjectB027_Post_TableS14,TableS14
SubjectB006_Post_TableS14,TableS14
SubjectA016_Post_TableS14,TableS14
SubjectA012_Post_TableS14,TableS14
SubjectA028_Post_TableS14,TableS14
SubjectA020_Post_TableS14,TableS14
SubjectB025_Post_TableS14,TableS14
SubjectB040_Post_TableS14,TableS14
SubjectB039_Post_TableS14,TableS14
